phase_id,operation_id,function_id,job_id,task_id,task_name,task_description,source_atlas_file,source_section,dependency_task_ids,estimated_complexity,status
PHASE-07,OP-07,FN-21,JOB-21,TASK-0021,Capture_network_events,Collect and store network events with protocol/endpoint/project filters, SINGULARITY-CONSOLE.md,Network Monitoring,,moderate,Pending
PHASE-07,OP-07,FN-22,JOB-22,TASK-0022,Render_network_views,Update graph/timeline/table views and endpoint tree with captured events, SINGULARITY-CONSOLE.md,Network Monitoring,TASK-0021,moderate,Pending
PHASE-08,OP-08,FN-23,JOB-23,TASK-0023,Manage_tasks_lists,Load lists, handle selection, and sync with TaskStore for system/project lists, SINGULARITY-CONSOLE.md,Tasks & Lists,,moderate,Pending
PHASE-08,OP-08,FN-24,JOB-24,TASK-0024,Operate_task_crud,Create/edit/save/delete tasks with priority/recurrence/due/reminder fields, SINGULARITY-CONSOLE.md,Tasks & Lists,TASK-0023,moderate,Pending
PHASE-08,OP-08,FN-25,JOB-25,TASK-0025,Import_export_tasks,Handle CSV import/export of tasks per sample format, SINGULARITY-CONSOLE.md,Tasks & Lists,TASK-0023,low,Pending
PHASE-09,OP-09,FN-26,JOB-26,TASK-0026,Apply_ui_scaling,Set UI scale/theme/density/accent and persist settings state, SINGULARITY-CONSOLE.md,UI/UX & Responsiveness,TASK-0001,low,Pending
PHASE-09,OP-09,FN-27,JOB-27,TASK-0027,Maintain_collapsible_splitters,Load/save collapsible pane states and splitter sizes across sessions, SINGULARITY-CONSOLE.md,UI/UX & Responsiveness,,low,Pending
PHASE-09,OP-09,FN-28,JOB-28,TASK-0028,Enforce_non_blocking_ops,Run background jobs via thread pool with mutation queue to avoid re-entrancy, SINGULARITY-CONSOLE.md,UI/UX & Responsiveness,,moderate,Pending
PHASE-10,OP-10,FN-29,JOB-29,TASK-0029,Run_consistency_monitor,Reconcile focus marker/mount/UI/manifest and auto-resync when mismatched, SINGULARITY-CONSOLE.md,Stability & Monitoring,TASK-0004,high,Pending
PHASE-10,OP-10,FN-30,JOB-30,TASK-0030,Handle_crash_safety,Log stability state, adjust rendering safety, and clean up mounts/watchers on teardown, SINGULARITY-CONSOLE.md,Stability & Monitoring,,high,Pending
PHASE-11,OP-11,FN-31,JOB-31,TASK-0031,Manage_credentials,Store/verify GitHub credentials (user/password/tokens) and update UI, SINGULARITY-CONSOLE.md,External Integrations,,moderate,Pending
PHASE-11,OP-11,FN-32,JOB-32,TASK-0032,Apply_git_auth_env,Generate GIT_ASKPASS and environment for non-interactive git operations, SINGULARITY-CONSOLE.md,External Integrations,TASK-0031,moderate,Pending
PHASE-12,OP-12,FN-33,JOB-33,TASK-0033,Shutdown_app,Stop audio/net watchers, threads, and persist settings on exit, SINGULARITY-CONSOLE.md,Stability & Monitoring,,moderate,Pending
